time [s]	Activity [arb units]
142.5000	0.7500
143.0000	0.7667
143.5000	0.7833
144.0000	0.8000
144.5000	0.8167
145.0000	0.8333
145.5000	0.8500
146.0000	0.8667
146.5000	0.8833
147.0000	0.9000
147.5000	0.9167
148.0000	0.9333
148.5000	0.9500
149.0000	0.9667
149.5000	0.9833
150.0000	1.0000
150.5000	0.0167
151.0000	0.0333
151.5000	0.0500
152.0000	0.0667
152.5000	0.0833
153.0000	0.1000
153.5000	0.1167
154.0000	0.1333
154.5000	0.1500
155.0000	0.1667
155.5000	0.1833
156.0000	0.2000
156.5000	0.2167
157.0000	0.2333
157.5000	0.2500
158.0000	0.2667
158.5000	0.2833
159.0000	0.3000
159.5000	0.3167
160.0000	0.3333
160.5000	0.3500
161.0000	0.3667
161.5000	0.3833
162.0000	0.4000
162.5000	0.4167
163.0000	0.4333
163.5000	0.4500
164.0000	0.4667
164.5000	0.4833
165.0000	0.5000
165.5000	0.5167
166.0000	0.5333
166.5000	0.5500
167.0000	0.5667
167.5000	0.5833
168.0000	0.6000
168.5000	0.6167
169.0000	0.6333
169.5000	0.6500
170.0000	0.6667
170.5000	0.6833
171.0000	0.7000
171.5000	0.7167
172.0000	0.7333
172.5000	0.7500
173.0000	0.7667
173.5000	0.7833
174.0000	0.8000
174.5000	0.8167
175.0000	0.8333
175.5000	0.8500
176.0000	0.8667
176.5000	0.8833
177.0000	0.9000
177.5000	0.9167
178.0000	0.9333
178.5000	0.9500
179.0000	0.9667
179.5000	0.9833
180.0000	1.0000
180.5000	0.0167
181.0000	0.0333
181.5000	0.0500
182.0000	0.0667
182.5000	0.0833
183.0000	0.1000
183.5000	0.1167
184.0000	0.1333
184.5000	0.1500
185.0000	0.1667
185.5000	0.1833
186.0000	0.2000
186.5000	0.2167
187.0000	0.2333
187.5000	0.2500
188.0000	0.2667
188.5000	0.2833
189.0000	0.3000
189.5000	0.3167
190.0000	0.3333
190.5000	0.3500
191.0000	0.3667
191.5000	0.3833
192.0000	0.4000
192.5000	0.4167
193.0000	0.4333
193.5000	0.4500
194.0000	0.4667
194.5000	0.4833
195.0000	0.5000
195.5000	0.5167
196.0000	0.5333
196.5000	0.5500
197.0000	0.5667
197.5000	0.5833
198.0000	0.6000
198.5000	0.6167
199.0000	0.6333
199.5000	0.6500
200.0000	0.6667
